0,0,0
0,0,0
0.031996,0.016016,0.0127792
0.06392,0.0320318,0.0254911
0.0957721,0.0480472,0.0381359
0.127553,0.064062,0.0507136
0.159261,0.0800761,0.0632244
0.190899,0.0960892,0.0756683
0.222465,0.112101,0.0880455
0.25396,0.128112,0.100356
0.285384,0.144121,0.1126
0.316737,0.160128,0.124778
0.348019,0.176134,0.136889
0.379231,0.192137,0.148934
0.410373,0.208138,0.160912
0.441444,0.224137,0.172825
0.472445,0.240133,0.184672
0.503376,0.256126,0.196452
0.534237,0.272116,0.208167
0.565028,0.288103,0.219817
0.59575,0.304086,0.231401
0.626402,0.320066,0.242919
0.656985,0.336042,0.254372
0.687498,0.352014,0.265759
0.717943,0.367982,0.277082
0.748319,0.383945,0.288339
0.778626,0.399904,0.299532
0.808864,0.415859,0.310659
0.839034,0.431808,0.321722
0.869135,0.447753,0.33272
0.899168,0.463692,0.343654
0.929133,0.479625,0.354523
0.95903,0.495553,0.365327
0.988859,0.511476,0.376068
1.01862,0.527392,0.386744
1.04831,0.543302,0.397356
1.07794,0.559206,0.407904
1.1075,0.575103,0.418389
1.13699,0.590993,0.428809
1.16642,0.606877,0.439166
1.19577,0.622753,0.44946
1.22507,0.638623,0.459689
1.25429,0.654484,0.469856
1.28345,0.670339,0.479959
1.31254,0.686185,0.489999
1.34156,0.702023,0.499977
1.37052,0.717854,0.509891
1.39942,0.733676,0.519742
1.42824,0.749489,0.529531
1.457,0.765294,0.539257
1.4857,0.78109,0.54892
1.51433,0.796877,0.558521
1.54289,0.812654,0.56806
1.57139,0.828423,0.577536
1.59983,0.844181,0.586951
1.6282,0.85993,0.596303
1.6565,0.875669,0.605594
1.68474,0.891398,0.614822
1.71292,0.907117,0.623989
1.74103,0.922826,0.633095
1.76907,0.938523,0.642139
1.79705,0.95421,0.651121
1.82497,0.969886,0.660043
1.85282,0.985551,0.668903
1.88061,1.0012,0.677702
1.90834,1.01685,0.68644
1.936,1.03248,0.695117
1.9636,1.0481,0.703734
1.99113,1.0637,0.71229
2.01861,1.0793,0.720786
2.04601,1.09488,0.729221
2.07336,1.11045,0.737596
2.10064,1.12601,0.74591
2.12786,1.14155,0.754165
